Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,21.81,21.88,21.56,21.66,898500,21.66
2014-01-28,21.84,22.00,21.75,21.90,1408100,21.90
2014-01-27,22.45,22.45,21.89,21.99,2256400,21.99
2014-01-24,22.35,22.48,22.09,22.45,1828400,22.45
2014-01-23,22.43,22.66,22.10,22.66,1920800,22.66
2014-01-22,21.99,22.49,21.90,22.46,2931600,22.46
2014-01-21,22.51,22.59,21.84,21.92,2627000,21.92
2014-01-17,21.96,22.56,21.80,22.25,5545100,22.25
2014-01-16,21.90,22.03,21.69,21.96,2318800,21.96
2014-01-15,22.05,22.17,21.83,21.91,1878100,21.91
2014-01-14,21.71,22.11,21.64,22.10,2568300,22.10
2014-01-13,21.56,21.83,21.56,21.72,1494300,21.72
2014-01-10,21.76,21.86,21.57,21.69,1666900,21.69
2014-01-09,22.00,22.02,21.71,21.87,943100,21.87
2014-01-08,22.03,22.03,21.80,22.03,2368500,22.03
2014-01-07,22.00,22.10,21.90,22.00,4088800,22.00
2014-01-06,21.99,22.12,21.76,22.00,2405600,22.00
2014-01-03,21.80,22.09,21.75,22.01,946500,22.01
2014-01-02,22.25,22.35,21.77,21.86,3619300,21.86
2013-12-31,22.00,22.47,21.95,22.25,2327600,22.25
2013-12-30,21.72,21.97,21.60,21.89,1788900,21.89
2013-12-27,21.60,21.84,21.55,21.60,2237300,21.60
2013-12-26,21.56,21.96,21.55,21.70,2686500,21.70
2013-12-24,21.60,21.67,21.15,21.51,2532300,21.51
2013-12-23,22.01,22.19,21.56,21.56,2504900,21.56
2013-12-20,22.50,22.55,21.86,21.93,2041400,21.93
2013-12-19,21.75,22.41,21.55,22.28,3014600,22.28
2013-12-18,21.83,22.18,21.66,21.83,5864300,21.83
2013-12-17,21.61,21.99,21.58,21.81,4748000,21.81
2013-12-16,23.08,25.75,21.52,21.52,1462800,21.52
2013-12-13,21.99,22.38,21.55,22.10,2513400,22.10
2013-12-12,21.30,21.92,21.25,21.50,26543600,21.50
